Ablp1	2L	100.000	21	0	0	1	21	3554383	3554403	1.88e-04	42.1	21
Ablp2	2L	100.000	21	0	0	1	21	3555472	3555452	1.88e-04	42.1	21
Ablp_F2	2L	100.000	20	0	0	1	20	3553277	3553296	6.18e-04	40.1	20
ablp-GMR-F1	2L	100.000	15	0	0	2	16	4197016	4197030	1.3	30.2	26
ablp-GMR-R1	3L	100.000	17	0	0	6	22	11774665	11774649	0.084	34.2	26
Ablp_R2	2L	100.000	21	0	0	1	21	3556898	3556878	1.88e-04	42.1	21
CG5151_F1	3L	100.000	19	0	0	1	19	16276301	16276283	0.002	38.2	19
CG5151_R1	3L	100.000	19	0	0	1	19	16275282	16275300	0.002	38.2	19
CY-GM-LF	2L	100.000	14	0	0	6	19	7333708	7333695	5.6	28.2	27
CY-GM-RR	3L	100.000	15	0	0	5	19	11774665	11774651	1.3	30.2	26
CY-RF-LR	X	100.000	20	0	0	1	20	1444888	1444907	0.001	40.1	27
CY-RF-RF	2R	100.000	14	0	0	1	14	15939212	15939225	5.6	28.2	27
GM-CY-LF	2R	100.000	16	0	0	2	17	22212267	22212282	0.33	32.2	26
GM-CY-RR	2L	100.000	16	0	0	1	16	5232974	5232989	0.36	32.2	27
GMR-ablp-F1	3R	100.000	17	0	0	10	26	15853971	15853987	0.092	34.2	27
GMR-ablp-R1	2L	100.000	20	0	0	1	20	3554337	3554318	0.001	40.1	27
RF-CY-F	2L	100.000	16	0	0	2	17	5231975	5231990	0.36	32.2	27
RF-CY-R	2L	100.000	18	0	0	1	18	5232007	5231990	0.023	36.2	27
